Video_File,Flicker_Status,Frames_Processed
20240309_190900.mp4,Detected,103
VID-20240228-WA0001.mp4,Stable,79
VID20240307184842.mp4,Detected,139
VID_20240311_221117.mp4,Stable,159
VID_20240311_033858(1).mp4,Stable,199
VID20240307184917.mp4,Stable,131
20240213_231828.mp4,Stable,508
VID-20240303-WA0002.mp4,Stable,131
20240301_192405.mp4,Detected,45
VID_20240311_220152.mp4,Stable,215
VID-20240303-WA0003.mp4,Detected,100
WhatsApp Video 2024-02-27 at 22.45.18_71e2f80f.mp4,Stable,129
20240301_192420.mp4,Stable,678
VID-20240303-WA0001.mp4,Detected,163
VID_20240311_044846(1).mp4,Stable,160
VID-20240303-WA0005.mp4,Detected,57
VID-20240303-WA0004.mp4,Detected,19
VID_20240311_044846.mp4,Stable,160
20240301_192358.mp4,Stable,204
VID_20240311_033858.mp4,Stable,199
WhatsApp Video 2024-03-06 at 20.13.51_8ab14936.mp4,Stable,104
20240301_192347.mp4,Stable,257
